Customer_ID,Course_ID
1,38
2,46
3,22
4,4
5,4
6,51
7,41
8,2
9,18
10,55
11,17
12,22
13,25
14,8
15,41
16,22
17,3
18,18
19,42
20,28
21,23
22,2
23,8
24,45
25,41
26,45
27,6
28,49
29,25
30,31
31,22
32,8
33,57
34,20
35,29
36,6
37,54
38,55
39,18
40,22
41,37
42,6
43,45
44,18
45,14
46,50
47,18
48,46
49,29
50,43
51,11
52,18
53,20
54,19
55,1
56,33
57,5
58,50
59,28
60,48
61,24
62,30
63,30
64,57
65,4
66,1
67,10
68,39
69,47
70,37
71,4
72,52
73,51
74,58
75,35
76,43
77,33
78,15
79,43
80,38
81,51
82,58
83,54
84,47
85,34
86,25
87,15
88,14
89,36
90,6
91,27
92,57
93,2
94,51
95,21
96,41
97,58
98,13
99,25
100,51
101,11
102,17
103,54
104,57
105,32
106,6
107,45
108,39
109,32
110,23
111,2
112,16
113,42
114,1
115,16
116,25
117,20
118,2
119,28
120,58
121,39
122,12
123,33
124,17
125,14
126,1
127,15
128,47
129,16
130,53
131,60
132,48
133,6
134,43
135,48
136,22
137,50
138,5
139,47
140,4
141,24
142,17
143,54
144,30
145,55
146,14
147,24
148,16
149,29
150,24
151,8
152,7
153,50
154,5
155,50
156,12
157,32
158,25
159,51
160,51
161,4
162,2
163,1
164,47
165,39
166,17
167,41
168,54
169,9
170,49
171,57
172,39
173,5
174,46
175,7
176,28
177,42
178,26
179,33
180,4
181,48
182,10
183,30
184,16
185,60
186,43
187,33
188,34
189,40
190,37
191,37
192,33
193,51
194,11
195,1
196,54
197,42
198,22
199,29
200,40
201,31
202,54
203,55
204,41
205,50
206,13
207,9
208,27
209,31
210,8
211,1
212,36
213,48
214,60
215,28
216,44
217,48
218,26
219,20
220,40
221,3
222,3
223,56
224,59
225,39
226,7
227,32
228,36
229,40
230,53
231,41
232,55
233,39
234,4
235,53
236,22
237,1
238,46
239,22
240,46
241,52
242,14
243,28
244,4
245,36
246,44
247,49
248,11
249,29
250,32
251,17
252,57
253,21
254,4
255,15
256,18
257,37
258,5
259,52
260,14
261,20
262,40
263,54
264,59
265,50
266,2
267,4
268,54
269,28
270,47
271,43
272,11
273,33
274,44
275,52
276,8
277,9
278,58
279,13
280,42
281,25
282,25
283,54
284,9
285,25
286,10
287,1
288,53
289,6
290,54
291,20
292,43
293,6
294,31
295,9
296,6
297,35
298,34
299,26
300,21
301,35
302,8
303,7
304,52
305,10
306,41
307,9
308,40
309,49
310,58
311,3
312,25
313,6
314,60
315,39
316,60
317,17
318,28
319,39
320,13
321,50
322,6
323,17
324,20
325,55
326,15
327,43
328,1
329,8
330,60
331,44
332,10
333,13
334,23
335,29
336,46
337,40
338,33
339,20
340,48
341,3
342,50
343,42
344,30
345,41
346,52
347,34
348,42
349,39
350,30
351,33
352,33
353,27
354,55
355,21
356,3
357,5
358,26
359,30
360,43
361,33
362,24
363,7
364,31
365,46
366,17
367,38
368,26
369,54
370,28
371,39
372,11
373,42
374,25
375,56
376,24
377,49
378,24
379,7
380,8
381,26
382,13
383,3
384,57
385,6
386,35
387,16
388,13
389,24
390,11
391,13
392,8
393,24
394,52
395,13
396,31
397,47
398,47
399,19
400,16
401,23
402,7
403,18
404,13
405,30
406,41
407,52
408,44
409,42
410,1
411,3
412,2
413,40
414,49
415,48
416,16
417,9
418,34
419,37
420,42
421,50
422,33
423,59
424,17
425,8
426,43
427,40
428,18
429,46
430,19
431,46
432,45
433,56
434,2
435,24
436,37
437,54
438,33
439,55
440,4
441,28
442,55
443,51
444,5
445,53
446,10
447,58
448,40
449,10
450,5
451,30
452,54
453,1
454,46
455,57
456,3
457,17
458,22
459,36
460,45
461,43
462,29
463,26
464,10
465,40
466,54
467,24
468,6
469,24
470,7
471,19
472,13
473,26
474,21
475,29
476,25
477,7
478,28
479,29
480,52
481,2
482,41
483,18
484,33
485,16
486,17
487,55
488,55
489,39
490,46
491,56
492,12
493,44
494,26
495,8
496,27
497,7
498,7
499,2
500,43
501,36
502,39
503,27
504,38
505,32
506,15
507,52
508,16
509,47
510,22
511,26
512,49
513,59
514,55
515,40
516,39
517,60
518,15
519,42
520,44
521,19
522,47
523,42
524,22
525,35
526,49
527,10
528,44
529,40
530,51
531,53
532,33
533,41
534,43
535,31
536,50
537,43
538,20
539,7
540,8
541,14
542,40
543,1
544,40
545,13
546,11
547,35
548,52
549,54
550,2
551,39
552,60
553,15
554,32
555,8
556,44
557,59
558,41
559,36
560,43
561,26
562,20
563,5
564,41
565,37
566,30
567,37
568,19
569,32
570,60
571,42
572,7
573,31
574,60
575,13
576,31
577,9
578,2
579,20
580,53
581,26
582,6
583,11
584,33
585,7
586,21
587,40
588,51
589,23
590,41
591,43
592,2
593,55
594,1
595,12
596,38
597,19
598,11
599,23
600,53
601,60
602,23
603,54
604,46
605,43
606,1
607,50
608,2
609,11
610,25
611,59
612,17
613,14
614,38
615,23
616,46
617,20
618,17
619,30
620,54
621,45
622,57
623,10
624,3
625,27
626,27
627,36
628,8
629,47
630,44
631,49
632,57
633,34
634,23
635,47
636,49
637,33
638,7
639,40
640,44
641,23
642,44
643,11
644,46
645,23
646,8
647,47
648,20
649,32
650,36
651,60
652,1
653,29
654,51
655,46
656,28
657,48
658,12
659,29
660,54
661,59
662,35
663,32
664,51
665,58
666,27
667,22
668,5
669,52
670,57
671,18
672,51
673,48
674,14
675,55
676,18
677,35
678,53
679,33
680,14
681,16
682,28
683,15
684,53
685,47
686,34
687,5
688,2
689,35
690,32
691,50
692,38
693,38
694,38
695,16
696,2
697,29
698,38
699,51
700,33
701,33
702,36
703,28
704,43
705,30
706,57
707,43
708,3
709,58
710,35
711,38
712,15
713,18
714,42
715,10
716,22
717,15
718,12
719,48
720,7
721,43
722,14
723,23
724,7
725,10
726,45
727,19
728,55
729,2
730,37
731,14
732,55
733,14
734,53
735,5
736,39
737,21
738,8
739,23
740,42
741,41
742,53
743,12
744,1
745,13
746,8
747,54
748,4
749,9
750,42
751,17
752,54
753,22
754,43
755,17
756,48
757,43
758,22
759,48
760,33
761,10
762,15
763,21
764,57
765,20
766,22
767,11
768,2
769,42
770,25
771,11
772,9
773,22
774,36
775,3
776,41
777,28
778,59
779,39
780,37
781,36
782,15
783,10
784,52
785,28
786,54
787,16
788,52
789,37
